Epoca,Perdua,Accuracy,Items
1,2.30206457268108,0.09876896650443745,6986
2,2.1915328112515535,0.21743486973947895,6986
3,2.091317624395544,0.26538791869453193,6986
4,2.0063032085245305,0.29015173203549954,6986
5,1.9388264959508723,0.31004866876610365,6986
6,1.8770151788538152,0.33452619524763816,6986
7,1.8222218459302728,0.35657028342399083,6986
8,1.7718762571161444,0.3867735470941884,6986
9,1.7282676241614603,0.40981963927855714,6986
10,1.692783598466353,0.43172058402519325,6986
11,1.6586113561283458,0.4490409390208989,6986
12,1.6225992332805286,0.45605496707701115,6986
13,1.593990409374237,0.4707987403378185,6986
14,1.5702964392575351,0.48139135413684514,6986
15,1.547621552510695,0.4836816490123103,6986
16,1.5266557574272155,0.48740337818494134,6986
17,1.5079844030466947,0.49856856570283425,6986
18,1.4948224414478648,0.5060120240480962,6986
19,1.4882699684663252,0.5032922988834813,6986
20,1.4824144753542814,0.5088748926424277,6986
