Epoca,Perdua,Accuracy,Items
1,2.2120963703502308,0.18923561408531347,6986
2,1.9793412273580377,0.3598625823074721,6986
3,1.755512454292991,0.4497566561694818,6986
4,1.5824278603900563,0.4961351273976524,6986
5,1.4564611391587692,0.5317778413970798,6986
6,1.3564731879667802,0.5624105353564272,6986
7,1.2696920611641624,0.593186372745491,6986
8,1.1942061619325117,0.6186659032350416,6986
9,1.1029474253004248,0.6440022902948754,6986
10,1.0372394594279202,0.6689092470655597,6986
11,0.9579963976686651,0.6963927855711423,6986
12,0.8957045983184467,0.7122817062696822,6986
13,0.834370386058634,0.7356140853134842,6986
14,0.7762337917631322,0.7522187231606069,6986
15,0.7244669185443358,0.7715430861723447,6986
16,0.6793153697794134,0.7831377039793873,6986
17,0.6367465219714424,0.79473232178643,6986
18,0.5914524286985398,0.8107643859146865,6986
19,0.5488775280388919,0.8252218723160607,6986
20,0.5191558008844203,0.8398225021471515,6986
21,0.4854751310565255,0.8461208130546808,6986
22,0.4570960735732859,0.8617234468937875,6986
23,0.43359620720148084,0.866304036644718,6986
24,0.41101411188190634,0.8716003435442313,6986
25,0.3861104268919338,0.8806183796163756,6986
26,0.3577286615967751,0.8892069853993702,6986
27,0.34215145178816536,0.8986544517606642,6986
28,0.3235390618443489,0.9008016032064128,6986
29,0.31285185272043403,0.9048096192384769,6986
30,0.3026418540965427,0.9089607787002577,6986
31,0.27022806080904876,0.9175493844832522,6986
32,0.25118875164877286,0.9234182651016318,6986
33,0.23903414674780585,0.9251359862582308,6986
34,0.22917755686423996,0.9272831377039794,6986
35,0.2233262106098912,0.9314342971657601,6986
36,0.21505634303797375,0.9363011737761237,6986
37,0.21108623804016546,0.9342971657600916,6986
38,0.19460097740996968,0.9394503292298884,6986
39,0.181208958002654,0.946321213856284,6986
40,0.170502143624154,0.9509018036072144,6986
41,0.16644202694296836,0.9520469510449471,6986
42,0.17023821410469034,0.9494703693100487,6986
43,0.1613713241097602,0.9523332379043802,6986
44,0.14890649118884045,0.9596335528199256,6986
45,0.14538078216666525,0.9586315488119095,6986
46,0.14493439333005384,0.9606355568279416,6986
47,0.13723371110179208,0.9603492699685084,6986
48,0.12839940528978,0.9643572860005726,6986
49,0.1391779534180056,0.9614944174062411,6986
50,0.14870151552287014,0.9597766962496421,6986
51,0.1381108390336687,0.9592041225307758,6986
