Epoca,Perdua,Accuracy,Items
1,1.5777786518340786,0.4456054967077011,6986
2,1.2132530288609196,0.5857429144002291,6986
3,1.0249660626121853,0.6475808760377899,6986
4,0.9157679150365803,0.6886630403664472,6986
5,0.8384986661340548,0.7208703120526768,6986
6,0.7690881209014213,0.7387632407672488,6986
7,0.6911928412848956,0.7686802175780132,6986
8,0.6615021366234783,0.7724019467506441,6986
9,0.6061378302367311,0.7958774692241626,6986
10,0.5669175406841382,0.807901517320355,6986
11,0.5314355254105237,0.8177784139707988,6986
12,0.5135367639941167,0.8293730317778414,6986
13,0.4561446898331925,0.8495562553678786,6986
14,0.4592478888015769,0.8428285141711995,6986
15,0.43047660766126905,0.8515602633839107,6986
16,0.3978773952551084,0.8645863154881192,6986
17,0.38639836132390315,0.8738906384196965,6986
18,0.36430696639568294,0.8758946464357286,6986
19,0.32632810898023107,0.8927855711422845,6986
20,0.3173072509909874,0.899370168909247,6986
