Epoca,Perdua,Accuracy,Items
1,3.6130068826675417,0.07125,1600
2,3.162447061538696,0.164375,1600
3,2.875396685600281,0.213125,1600
4,2.6350156259536743,0.29375,1600
5,2.4440033555030825,0.321875,1600
6,2.2608966517448423,0.355625,1600
7,2.10645503282547,0.398125,1600
8,1.986104555130005,0.43,1600
9,1.8463024663925172,0.459375,1600
10,1.7392458772659303,0.488125,1600
11,1.6155950784683228,0.54,1600
12,1.5524741744995116,0.55125,1600
13,1.428326985836029,0.59125,1600
14,1.3215993547439575,0.613125,1600
15,1.3061243760585786,0.624375,1600
16,1.1965284538269043,0.640625,1600
17,1.1563464307785034,0.650625,1600
18,1.049288079738617,0.676875,1600
19,0.9982288420200348,0.706875,1600
20,0.8775610792636871,0.743125,1600
21,0.8295274811983109,0.7525,1600
22,0.8231425225734711,0.756875,1600
23,0.8369518268108368,0.75875,1600
24,0.7418878889083862,0.783125,1600
25,0.6814579147100449,0.789375,1600
26,0.6646852666139602,0.79125,1600
27,0.7009528875350952,0.791875,1600
28,0.563077535033226,0.835,1600
29,0.5751776301860809,0.834375,1600
30,0.5952797842025757,0.818125,1600
31,0.5284677869081498,0.838125,1600
32,0.4832948726415634,0.854375,1600
33,0.4627854317426682,0.849375,1600
34,0.44937689185142515,0.860625,1600
35,0.3813587245345116,0.894375,1600
36,0.35873084887862206,0.894375,1600
37,0.403532272875309,0.864375,1600
38,0.33788865357637404,0.905625,1600
39,0.3669129276275635,0.894375,1600
40,0.34399650514125824,0.89125,1600
41,0.3213579186797142,0.900625,1600
